GrantNumber,DisciplineNumber
G25698,D30102
G66871,D20303
G57401,D30201
G201269,D30403
G169640,D20501
G169640,D20503
G185138,D20304
G46819,D20304
G54018,D20506
G194429,D20100
G42971,D10201
G114750,D10102
G114750,D10301
G114750,D10404
G25287,D30101
G119186,D30101
G119186,D30102
G119186,D30103
G119186,D30104
G119186,D30201
G181910,D30102
G181910,D30108
G178697,D10105
G170775,D20301
G6672,D30102
G146119,D10102
G146119,D10503
G3456,D20404
G46861,D30202
G122157,D30201
G189882,D20501
G189882,D20801
G121980,D30101
G121980,D30103
G202259,D10102
G202259,D10201
G124948,D30105
G194146,D30104
G49438,D30102
G2108,D10403
G100599,D10401
G179125,D30104
G179125,D30202
G140183,D20801
G140554,D20504
G140554,D20508
G123699,D10204
G208188,D30101
G208188,D30102
G208188,D30103
G108755,D10302
G28979,D20404
G105507,D20803
G135065,D10301
G100661,D30812
G2073,D10201
G144953,D20304
G144953,D30101
G144953,D30103
G172824,D20404
G172824,D20505
G58792,D10201
G34533,D20100
G34533,D20511
G175752,D20100
G202329,D10104
G202329,D10105
G113831,D10403
G116778,D30207
G198176,D20409
G65648,D30205
G177599,D10201
G177599,D10202
G59586,D10206
G47882,D10202
G116548,D20709
G199176,D20704
G205686,D20304
G205686,D30103
G107310,D20100
G188383,D30301
G188383,D30305
G134137,D10101
G134137,D10205
G7104,D30911
G20761,D10206
G161072,D20304
G161072,D20505
G161072,D30103
G36451,D20200
G20463,D20304
G169532,D10203
G115985,D30202
G115985,D30207
G115985,D30713
G50956,D10205
G156291,D30402
G156291,D30714
G183866,D20100
G28375,D30102
G47275,D30102
G182858,D10101
G191096,D30101
G191096,D30108
G165716,D20404
G180834,D30101
G180834,D30102
G180834,D30103
G180834,D30104
G183660,D20304
G183660,D30102
G194602,D20801
G194602,D20803
G194602,D20806
G56106,D20303
G100662,D10405
G185880,D30107
G185880,D30307
G6039,D30707
G179086,D20511
G179086,D30108
G188102,D10105
G26672,D10103
G110901,D20303
G110901,D20406
G110901,D20507
G20172,D20303
G8645,D30701
G46547,D10203
G245,D10502
G119428,D10102
G119428,D10103
G8405,D30102
G628,D10502
G172453,D10203
G172453,D20511
G172453,D20709
G162820,D30707
G162820,D30811
