index,Institute,InstituteCountry,ResearchInstitution,InstituteNumber
0,Département de Biologie Moléculaire Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE,I1
1,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Switzerland,EPF Lausanne - EPFL,I2
2,"UNI: CABI Bioscience (Ascot) Environment UK Centre Ascot, Berkshire GB",Great Britain and Northern Ireland,University of Fribourg - FR,I3
3,Département de Pathologie et Immunologie Faculté de Médecine / CMU Université de Genève,Switzerland,University of Geneva - GE,I4
4,WSL - Institut für Schnee- und Lawinenforschung SLF,Switzerland,"Swiss Federal Institute for Forest, Snow and Landscape Research  - WSL",I5
5,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Switzerland,,I6
6,"Departement für Chemie, Biochemie und Pharmazie Universität Bern",Switzerland,University of Berne - BE,I7
7,IDIAP Institut de Recherche,Switzerland,Idiap Research Institute - IDIAP,I8
8,Department of Mathematics Massachusetts Institute of Technology,United States of America,Institution abroad - United States of America,I9
9,UNI: Universität Zürich Abt. Psychosoziale M edizin  Zürich CH,Switzerland,Institution abroad - Switzerland,I10
10,Historisches Seminar Universität Luzern,Switzerland,University of Lucerne - LU,I11
11,Theodor Kocher Institut Universität Bern,Switzerland,University of Berne - BE,I12
12,Département de Biologie Végétale Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE,I13
13,MRC Laboratory of Molecular Biology,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I14
14,Allgemeine und Entwicklungspsychologie Psychologisches Institut Universität Zürich,Switzerland,University of Zurich - ZH,I15
15,Laboratorium für Physikalische Chemie D-CHAB ETH Zürich,Switzerland,ETH Zurich - ETHZ,I16
16,Asien-Afrika Institut Universität Hamburg,Germany,Institution abroad - Germany,I17
17,Institut de Physique Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I18
18,Ausstellungen Zoologisches Museum der Universität Zürich,Switzerland,University of Zurich - ZH,I19
19,Institut für Pflanzen- und Mikrobiologie Universität Zürich,Switzerland,University of Zurich - ZH,I20
20,Departement Erdwissenschaften ETH Zürich,Switzerland,ETH Zurich - ETHZ,I21
21,Institut für Anatomie Medizinische Fakultät Universität Bern,Switzerland,University of Berne - BE,I22
22,Departement für Moraltheologie und Ethik Universität Freiburg,Switzerland,University of Fribourg - FR,I23
23,Zoologisches Institut Universität Zürich-Irchel,Switzerland,University of Zurich - ZH,I24
24,Institut de Biologie Université de Neuchâtel,Switzerland,,I25
25,Dépt Microbiologie et Médecine Moléculaire Faculté de Médecine Université de Genève,Switzerland,University of Geneva - GE,I26
26,Ethnologisches Seminar Universität Basel,Switzerland,University of Basel - BS,I27
27,Unité d'anthropologie Département de génétique et évolution Université de Genève,Switzerland,University of Geneva - GE,I28
28,Département de Génétique et Evolution Faculté des Sciences Université de Genève,Switzerland,University of Geneva - GE,I29
29,Chaire swissUp en ingénierie EPFL - STI - IBI-STI - CLSE,Switzerland,EPF Lausanne - EPFL,I30
30,The Wharton School University of Pennsylvania,United States of America,Institution abroad - United States of America,I31
31,Institut für Biochemie Departement Biologie ETH Zürich,Switzerland,ETH Zurich - ETHZ,I32
32,Institut für Angewandte Physik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I33
33,Institut de Minéralogie et Pétrographie Centre d'Analyse Minérale Université de Lausanne,,University of Lausanne - LA,I34
34,Departement Geschichte Universität Basel,Switzerland,University of Basel - BS,I35
35,Forschungsinstitut für Arbeit und Arbeitswelten Universität St. Gallen (FAA-HSG),Switzerland,University of St.Gallen - SG,I36
36,Département de Chimie Organique Université de Genève,Switzerland,University of Geneva - GE,I37
37,Departement Materialwissenschaft ETH Zürich,Switzerland,ETH Zurich - ETHZ,I38
38,Centro Stefano Franscini ETH-Zentrum,Switzerland,ETH Zurich - ETHZ,I39
39,HEC - Ecole des Hautes Etudes Commerciales Université de Lausanne,Switzerland,University of Lausanne - LA,I40
40,Institut für Heilpädagogik Pädagogische Hochschule Bern,Switzerland,University of Fribourg - FR,I41
41,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Switzerland,University of Berne - BE,I42
42,Département d'Ecologie et d'Evolution Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,University of Neuchatel - NE,I43
43,Laboratoire Temps-Fréquence Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I44
44,Academy of Sciences of the Republic of Uzbekistan; Inst. of Zoology Dept. of General Entomology,Uzbekistan,Unassignable - NA,I45
45,Centre en études genre Institut des Sciences Sociales Université de Lausanne,Switzerland,University of Lausanne - LA,I46
46,Laboratoire d'intermodalité des transports et de planification EPFL-ENAC-INTER-LITEP,Switzerland,EPF Lausanne - EPFL,I47
47,Department of Political Science University of California,United States of America,Unassignable - NA,I48
48,Informatics & Sustainability Research Group Technologie und Gesellschaft Empa,Switzerland,Swiss Federal Laboratories for Materials Science and Technology - EMPA,I49
49,"Luftfremdstoffe / Umwelttechnik 500 - Mobility, Energy and Environment EMPA",Switzerland,,I50
50,Département de Biochimie Faculté des Sciences II Université de Genève,Switzerland,University of Geneva - GE,I51
51,Departement Mathematik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I52
52,Institut für Evolutionäre Medizin IEM Medizinische Fakultät Universität Zürich,Switzerland,University of Zurich - ZH,I53
53,Facultad de Derecho Universidad de Buenos Aires,Argentina,Institution abroad - Argentina,I54
54,Ecole supérieure d'enseignement infirmier,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I55
55,UNI: Institut d'Etudes politiques d   St. Ma rtin d'Hère F,France,Institution abroad - France,I56
56,Biomedical Materials & Regenerative Medicine Department of Materials Imperial College London,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I57
57,Observatoire de Genève Université de Genève,Switzerland,University of Geneva - GE,I58
58,UNI: Texas A&M University Dept of Biochemist ry and Biophysics  College USA,United States of America,Institution abroad - United States of America,I59
59,Abteilung Arbeitsmarktökonomie Wirtschaftswissenschaftliche Fakultät Universität Basel,Switzerland,University of Basel - BS,I60
60,"Abteilung für Zoo-, Heim- und Wildtiere Vetsuisse-Fakultät Universität Zürich",Switzerland,University of Zurich - ZH,I61
61,Eidg. Departement für auswärtige Angelegenheiten,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I62
62,Departement Biomedizin Universität Basel,Switzerland,University of Basel - BS,I63
63,Department of Mathematics Johns Hopkins University,United States of America,Institution abroad - United States of America,I64
64,"UNI: Princeton University   Princeton, NY US A",United States of America,Institution abroad - United States of America,I65
65,Département de Philosophie Université de Genève,Switzerland,University of Geneva - GE,I66
